Colosseo - Shkoder,http://www.hostelworld.com/hosteldetails.php/Colosseo-Shkoder/Shkoder/62882,Standard Double Bed Private Ensuite,62.28
Tradita Geg&Tosk,http://www.hostelworld.com/hosteldetails.php/Tradita-Geg-and-Tosk/Shkoder/69969,Standard Double Bed Private Ensuite,39.83
Tradita Geg&Tosk,http://www.hostelworld.com/hosteldetails.php/Tradita-Geg-and-Tosk/Shkoder/69969,Superior Double Bed Private Ensuite,122.68
Tradita Geg&Tosk,http://www.hostelworld.com/hosteldetails.php/Tradita-Geg-and-Tosk/Shkoder/69969,Standard 3 Bed Private Shared Bathroom,34.51
Tradita Geg&Tosk,http://www.hostelworld.com/hosteldetails.php/Tradita-Geg-and-Tosk/Shkoder/69969,Standard 3 Bed Private Ensuite,34.76
Tradita Geg&Tosk,http://www.hostelworld.com/hosteldetails.php/Tradita-Geg-and-Tosk/Shkoder/69969,Standard 4 Bed Private Ensuite,31.86
Trip'n'Hostel,http://www.hostelworld.com/hosteldetails.php/Trip-n-Hostel/Tirana/73338,Basic Twin Private Shared Bathroom,21.73
Trip'n'Hostel,http://www.hostelworld.com/hosteldetails.php/Trip-n-Hostel/Tirana/73338,Basic 6 Bed Mixed Dorm,14.48
Trip'n'Hostel,http://www.hostelworld.com/hosteldetails.php/Trip-n-Hostel/Tirana/73338,Basic 8 Bed Mixed Dorm,14.48
Trip'n'Hostel,http://www.hostelworld.com/hosteldetails.php/Trip-n-Hostel/Tirana/73338,Basic 10 Bed Mixed Dorm,14.48
Trip'n'Hostel,http://www.hostelworld.com/hosteldetails.php/Trip-n-Hostel/Tirana/73338,Basic 12 Bed Mixed Dorm,14.48
Tirana Backpacker Hostel,http://www.hostelworld.com/hosteldetails.php/Tirana-Backpacker-Hostel/Tirana/13269,Basic Double Bed Private Shared Bathroom,50.69
Tirana Backpacker Hostel,http://www.hostelworld.com/hosteldetails.php/Tirana-Backpacker-Hostel/Tirana/13269,Basic 6 Bed Mixed Dorm,17.38
Milingona Hostel,http://www.hostelworld.com/hosteldetails.php/Milingona-Hostel/Tirana/42610,Standard Twin Private Shared Bathroom,21.73
Milingona Hostel,http://www.hostelworld.com/hosteldetails.php/Milingona-Hostel/Tirana/42610,2 Bed Tent Shared Bathroom,10.14
Milingona Hostel,http://www.hostelworld.com/hosteldetails.php/Milingona-Hostel/Tirana/42610,4 Bed Family Room Shared Bathroom,17.38
Milingona Hostel,http://www.hostelworld.com/hosteldetails.php/Milingona-Hostel/Tirana/42610,Basic 6 Bed Mixed Dorm,14.48
Milingona Hostel,http://www.hostelworld.com/hosteldetails.php/Milingona-Hostel/Tirana/42610,Basic 8 Bed Mixed Dorm,14.48
Hostel Albania,http://www.hostelworld.com/hosteldetails.php/Hostel-Albania/Tirana/34784,Basic Twin Private Shared Bathroom,21.73
Hostel Albania,http://www.hostelworld.com/hosteldetails.php/Hostel-Albania/Tirana/34784,Basic 6 Bed Mixed Dorm,17.38
Hostel Albania,http://www.hostelworld.com/hosteldetails.php/Hostel-Albania/Tirana/34784,Basic 12 Bed Mixed Dorm Ensuite,14.48
Star Hostel Tirana,http://www.hostelworld.com/hosteldetails.php/Star-Hostel-Tirana/Tirana/58016,Deluxe Twin Private Ensuite,21.73
Star Hostel Tirana,http://www.hostelworld.com/hosteldetails.php/Star-Hostel-Tirana/Tirana/58016,Deluxe Double Bed Private Ensuite,21.73
Star Hostel Tirana,http://www.hostelworld.com/hosteldetails.php/Star-Hostel-Tirana/Tirana/58016,Deluxe 3 Bed Private Ensuite,21.73
Star Hostel Tirana,http://www.hostelworld.com/hosteldetails.php/Star-Hostel-Tirana/Tirana/58016,Deluxe 4 Bed Private Ensuite,21.73
Freddy's,http://www.hostelworld.com/hosteldetails.php/Freddy-s/Tirana/22693,Twin Private Ensuite,18.83
Freddy's,http://www.hostelworld.com/hosteldetails.php/Freddy-s/Tirana/22693,Double Bed Private Ensuite,27.52
Freddy's,http://www.hostelworld.com/hosteldetails.php/Freddy-s/Tirana/22693,2 Bed Mixed Dorm Ensuite,23.17
Freddy's,http://www.hostelworld.com/hosteldetails.php/Freddy-s/Tirana/22693,3 Bed Mixed Dorm Ensuite,24.62
Oresti Hostel,http://www.hostelworld.com/hosteldetails.php/Oresti-Hostel/Tirana/37318,Standard Twin Private Ensuite,14.48
Oresti Hostel,http://www.hostelworld.com/hosteldetails.php/Oresti-Hostel/Tirana/37318,Standard 3 Bed Private Ensuite,13.04
B&B Tirana Smile,http://www.hostelworld.com/hosteldetails.php/B-and-B-Tirana-Smile/Tirana/78355,Superior Double Bed Private Ensuite,25.35
B&B Tirana Smile,http://www.hostelworld.com/hosteldetails.php/B-and-B-Tirana-Smile/Tirana/78355,Deluxe 3 Bed Private Ensuite,16.9
B&B Tirana Smile,http://www.hostelworld.com/hosteldetails.php/B-and-B-Tirana-Smile/Tirana/78355,Standard 3 Bed Private Ensuite,16.9
Mirror Dream/Panorama,http://www.hostelworld.com/hosteldetails.php/Mirror-Dream-Panorama/Tirana/22169,Double Bed Private Ensuite,20.28
Vila  e Arte,http://www.hostelworld.com/hosteldetails.php/Vila-e-Arte/Tirana/76782,Standard Single Private Ensuite,43.45
Vila  e Arte,http://www.hostelworld.com/hosteldetails.php/Vila-e-Arte/Tirana/76782,Standard Twin Private Ensuite,28.97
Vila  e Arte,http://www.hostelworld.com/hosteldetails.php/Vila-e-Arte/Tirana/76782,Standard Double Bed Private Ensuite,28.97
Vila  e Arte,http://www.hostelworld.com/hosteldetails.php/Vila-e-Arte/Tirana/76782,Standard 3 Bed Private Ensuite,21.73
Vila  e Arte,http://www.hostelworld.com/hosteldetails.php/Vila-e-Arte/Tirana/76782,4 Bed Private Ensuite,21.73
Tirana Patio,http://www.hostelworld.com/hosteldetails.php/Tirana-Patio/Tirana/63113,Deluxe 4 Bed Apartment Ensuite,17.06
Hotel Nobel,http://www.hostelworld.com/hosteldetails.php/Hotel-Nobel/Tirana/21744,Basic Single Private Shared Bathroom,50.69
Hotel Nobel,http://www.hostelworld.com/hosteldetails.php/Hotel-Nobel/Tirana/21744,Standard Twin Private Ensuite,36.21
Hotel Nobel,http://www.hostelworld.com/hosteldetails.php/Hotel-Nobel/Tirana/21744,Standard Double Bed Private Ensuite,36.21
Hotel Nobel,http://www.hostelworld.com/hosteldetails.php/Hotel-Nobel/Tirana/21744,Standard 3 Bed Private Ensuite,28.97
Hotel Nobel,http://www.hostelworld.com/hosteldetails.php/Hotel-Nobel/Tirana/21744,Standard 4 Bed Private Ensuite,28.97
Propaganda Hostel,http://www.hostelworld.com/hosteldetails.php/Propaganda-Hostel/Tirana/80533,Standard Double Bed Private Ensuite,36.21
Propaganda Hostel,http://www.hostelworld.com/hosteldetails.php/Propaganda-Hostel/Tirana/80533,Standard 3 Bed Family Room Shared Bathroom,50.69
Propaganda Hostel,http://www.hostelworld.com/hosteldetails.php/Propaganda-Hostel/Tirana/80533,Standard 4 Bed Male Dorm,15.93
Propaganda Hostel,http://www.hostelworld.com/hosteldetails.php/Propaganda-Hostel/Tirana/80533,Standard 4 Bed Female Dorm,15.93
Propaganda Hostel,http://www.hostelworld.com/hosteldetails.php/Propaganda-Hostel/Tirana/80533,Standard 4 Bed Mixed Dorm,15.93
Propaganda Hostel,http://www.hostelworld.com/hosteldetails.php/Propaganda-Hostel/Tirana/80533,Standard 5 Bed Mixed Dorm,14.48
Propaganda Hostel,http://www.hostelworld.com/hosteldetails.php/Propaganda-Hostel/Tirana/80533,Standard 6 Bed Mixed Dorm,13.04
Hotel Baron,http://www.hostelworld.com/hosteldetails.php/Hotel-Baron/Tirana/34551,Standard Single Private Ensuite,28.97
Hotel Baron,http://www.hostelworld.com/hosteldetails.php/Hotel-Baron/Tirana/34551,Basic Twin Private Shared Bathroom,13.04
Hotel Baron,http://www.hostelworld.com/hosteldetails.php/Hotel-Baron/Tirana/34551,Standard Twin Private Ensuite,14.48
Hotel Baron,http://www.hostelworld.com/hosteldetails.php/Hotel-Baron/Tirana/34551,Deluxe Double Bed Private Ensuite,18.1
Hotel Baron,http://www.hostelworld.com/hosteldetails.php/Hotel-Baron/Tirana/34551,Basic 3 Bed Private Shared Bathroom,13.51
Hotel Baron,http://www.hostelworld.com/hosteldetails.php/Hotel-Baron/Tirana/34551,Standard 3 Bed Private Ensuite,15.93
Hotel Baron,http://www.hostelworld.com/hosteldetails.php/Hotel-Baron/Tirana/34551,Standard 4 Bed Private Ensuite,13.4
Pik Loti Hotel,http://www.hostelworld.com/hosteldetails.php/Pik-Loti-Hotel/Tirana/81114,Standard Single Private Ensuite,52.43
Pik Loti Hotel,http://www.hostelworld.com/hosteldetails.php/Pik-Loti-Hotel/Tirana/81114,Standard Double Bed Private Ensuite,33.96
Pik Loti Hotel,http://www.hostelworld.com/hosteldetails.php/Pik-Loti-Hotel/Tirana/81114,Standard 3 Bed Private Ensuite,31.47
Selvia Appartment,http://www.hostelworld.com/hosteldetails.php/Selvia-Appartment/Tirana/34050,Deluxe Twin Private Ensuite,18.83
Selvia Appartment,http://www.hostelworld.com/hosteldetails.php/Selvia-Appartment/Tirana/34050,Deluxe Double Bed Private Shared Bathroom,20.28
La Bohème Hotel,http://www.hostelworld.com/hosteldetails.php/La-Boheme-Hotel/Tirana/84480,Standard Single Private Ensuite,141.22
La Bohème Hotel,http://www.hostelworld.com/hosteldetails.php/La-Boheme-Hotel/Tirana/84480,Standard Double Bed Private Ensuite,88.35
Broadway Hotel,http://www.hostelworld.com/hosteldetails.php/Broadway-Hotel/Tirana/79779,Standard Single Private Ensuite,95.16
Broadway Hotel,http://www.hostelworld.com/hosteldetails.php/Broadway-Hotel/Tirana/79779,Standard Double Bed Private Ensuite,57.21
City Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/City-Hotel-Tirana/Tirana/29408,Basic Single Private Ensuite,57.93
City Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/City-Hotel-Tirana/Tirana/29408,Standard Single Private Ensuite,75.32
City Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/City-Hotel-Tirana/Tirana/29408,Double Bed Private Ensuite,49.24
Stela Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Stela-Hotel-Tirana/Tirana/62500,Standard Single Private Ensuite,78.65
Stela Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Stela-Hotel-Tirana/Tirana/62500,Standard Twin Private Ensuite,45.33
Stela Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Stela-Hotel-Tirana/Tirana/62500,Standard Double Bed Private Ensuite,43.81
Stela Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Stela-Hotel-Tirana/Tirana/62500,Standard 3 Bed Private Ensuite,34.28
Elysee Hotel,http://www.hostelworld.com/hosteldetails.php/Elysee-Hotel/Tirana/59471,Standard Single Private Ensuite,101.39
Elysee Hotel,http://www.hostelworld.com/hosteldetails.php/Elysee-Hotel/Tirana/59471,Standard Double Bed Private Ensuite,55.76
Elysee Hotel,http://www.hostelworld.com/hosteldetails.php/Elysee-Hotel/Tirana/59471,Standard 3 Bed Private Ensuite,49.72
Rogner Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Rogner-Hotel-Tirana/Tirana/58757,Standard Single Private Ensuite,217.26
Rogner Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Rogner-Hotel-Tirana/Tirana/58757,Standard Double Bed Private Ensuite,144.84
Rogner Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Rogner-Hotel-Tirana/Tirana/58757,Standard 3 Bed Private Ensuite,120.69
Golden City - Tirana,http://www.hostelworld.com/hosteldetails.php/Golden-City-Tirana/Tirana/62854,Standard Single Private Ensuite,120.94
Golden City - Tirana,http://www.hostelworld.com/hosteldetails.php/Golden-City-Tirana/Tirana/62854,Standard Double Bed Private Ensuite,69.88
Hotel Elysee,http://www.hostelworld.com/hosteldetails.php/Hotel-Elysee/Tirana/68979,Standard Single Private Ensuite,65.18
Hotel Elysee,http://www.hostelworld.com/hosteldetails.php/Hotel-Elysee/Tirana/68979,Standard Double Bed Private Ensuite,39.83
Hotel Elysee,http://www.hostelworld.com/hosteldetails.php/Hotel-Elysee/Tirana/68979,Standard 3 Bed Private Ensuite,36.21
Seven Hotel,http://www.hostelworld.com/hosteldetails.php/Seven-Hotel/Tirana/75402,Standard Single Private Ensuite,84.87
Seven Hotel,http://www.hostelworld.com/hosteldetails.php/Seven-Hotel/Tirana/75402,Standard Twin Private Ensuite,54.75
Seven Hotel,http://www.hostelworld.com/hosteldetails.php/Seven-Hotel/Tirana/75402,Standard Double Bed Private Ensuite,51.27
Verzaci Hotel,http://www.hostelworld.com/hosteldetails.php/Verzaci-Hotel/Tirana/75418,Standard Single Private Ensuite,51.27
Verzaci Hotel,http://www.hostelworld.com/hosteldetails.php/Verzaci-Hotel/Tirana/75418,Standard Double Bed Private Ensuite,34.47
Vila Alba Tirana,http://www.hostelworld.com/hosteldetails.php/Vila-Alba-Tirana/Tirana/68740,Standard Single Private Ensuite,128.9
Vila Alba Tirana,http://www.hostelworld.com/hosteldetails.php/Vila-Alba-Tirana/Tirana/68740,Standard Double Bed Private Ensuite,87.48
Relax Hotel,http://www.hostelworld.com/hosteldetails.php/Relax-Hotel/Tirana/75397,Standard Single Private Ensuite,60.11
Relax Hotel,http://www.hostelworld.com/hosteldetails.php/Relax-Hotel/Tirana/75397,Standard Double Bed Private Ensuite,46.85
Loreni Hostel,http://www.hostelworld.com/hosteldetails.php/Loreni-Hostel/Tirana/36415,Deluxe Twin Private Ensuite,23.17
Loreni Hostel,http://www.hostelworld.com/hosteldetails.php/Loreni-Hostel/Tirana/36415,Superior Double Bed Private Ensuite,24.62
Loreni Hostel,http://www.hostelworld.com/hosteldetails.php/Loreni-Hostel/Tirana/36415,Deluxe 3 Bed Private Ensuite,20.28
Loreni Hostel,http://www.hostelworld.com/hosteldetails.php/Loreni-Hostel/Tirana/36415,Deluxe 4 Bed Private Ensuite,20.28
Hotel Viktoria,http://www.hostelworld.com/hosteldetails.php/Hotel-Viktoria/Tirana/52548,Standard Single Private Ensuite,31.86
Hotel Viktoria,http://www.hostelworld.com/hosteldetails.php/Hotel-Viktoria/Tirana/52548,Standard Twin Private Ensuite,22.45
Hotel Viktoria,http://www.hostelworld.com/hosteldetails.php/Hotel-Viktoria/Tirana/52548,Standard Double Bed Private Ensuite,22.45
Hotel Viktoria,http://www.hostelworld.com/hosteldetails.php/Hotel-Viktoria/Tirana/52548,Standard 3 Bed Private Ensuite,20.28
Hotel Viktoria,http://www.hostelworld.com/hosteldetails.php/Hotel-Viktoria/Tirana/52548,Standard 4 Bed Private Ensuite,18.83
Nov Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Nov-Hotel-Tirana/Tirana/62498,Standard Single Private Ensuite,120.07
Nov Hotel Tirana,http://www.hostelworld.com/hosteldetails.php/Nov-Hotel-Tirana/Tirana/62498,Standard Twin Private Ensuite,75.97
Villa Tafaj,http://www.hostelworld.com/hosteldetails.php/Villa-Tafaj/Tirana/75416,Standard Single Private Ensuite,93.71
Villa Tafaj,http://www.hostelworld.com/hosteldetails.php/Villa-Tafaj/Tirana/75416,Standard Double Bed Private Ensuite,54.82
Hotel Haxhiu-Tirana,http://www.hostelworld.com/hosteldetails.php/Hotel-Haxhiu-Tirana/Tirana/34211,Standard Single Private Ensuite,66.63
Hotel Haxhiu-Tirana,http://www.hostelworld.com/hosteldetails.php/Hotel-Haxhiu-Tirana/Tirana/34211,Standard Twin Private Ensuite,42.0
Hotel Haxhiu-Tirana,http://www.hostelworld.com/hosteldetails.php/Hotel-Haxhiu-Tirana/Tirana/34211,Standard Double Bed Private Ensuite,42.0
Brilant Antik - Tirana,http://www.hostelworld.com/hosteldetails.php/Brilant-Antik-Tirana/Tirana/62647,Standard Single Private Ensuite,117.75
Brilant Antik - Tirana,http://www.hostelworld.com/hosteldetails.php/Brilant-Antik-Tirana/Tirana/62647,Standard Double Bed Private Ensuite,81.47
Arber - Tirana,http://www.hostelworld.com/hosteldetails.php/Arber-Tirana/Tirana/62855,Standard Single Private Ensuite,111.52
Arber - Tirana,http://www.hostelworld.com/hosteldetails.php/Arber-Tirana/Tirana/62855,Standard Double Bed Private Ensuite,88.71
Bermon Hotel,http://www.hostelworld.com/hosteldetails.php/Bermon-Hotel/Tirana/75412,Standard Double Bed Private Ensuite,33.6
Bermon Hotel,http://www.hostelworld.com/hosteldetails.php/Bermon-Hotel/Tirana/75412,3 Bed Private Ensuite,25.35
Vila Aeroport Tirana,http://www.hostelworld.com/hosteldetails.php/Vila-Aeroport-Tirana/Tirana/75396,Standard Single Private Ensuite,58.37
Vila Aeroport Tirana,http://www.hostelworld.com/hosteldetails.php/Vila-Aeroport-Tirana/Tirana/75396,Standard Double Bed Private Ensuite,38.02
Shkolla Vuno,http://www.hostelworld.com/hosteldetails.php/Shkolla-Vuno/Vuno/78090,Basic 8 Bed Mixed Dorm,11.56
Armagh City Hostel,http://www.hostelworld.com/hosteldetails.php/Armagh-City-Hostel/Armagh/454,Twin Private Ensuite,36.37
Armagh City Hostel,http://www.hostelworld.com/hosteldetails.php/Armagh-City-Hostel/Armagh/454,Double Bed Private Ensuite,36.37
Armagh City Hostel,http://www.hostelworld.com/hosteldetails.php/Armagh-City-Hostel/Armagh/454,4 Bed Male Dorm Ensuite,32.91
Armagh City Hostel,http://www.hostelworld.com/hosteldetails.php/Armagh-City-Hostel/Armagh/454,4 Bed Female Dorm Ensuite,32.91
Armagh City Hostel,http://www.hostelworld.com/hosteldetails.php/Armagh-City-Hostel/Armagh/454,4 Bed Mixed Dorm Ensuite,32.91
Armagh City Hostel,http://www.hostelworld.com/hosteldetails.php/Armagh-City-Hostel/Armagh/454,6 Bed Mixed Dorm Ensuite,32.91
Dundrum House,http://www.hostelworld.com/hosteldetails.php/Dundrum-House/Armagh/61398,Standard Twin Private Ensuite,50.69
Dundrum House,http://www.hostelworld.com/hosteldetails.php/Dundrum-House/Armagh/61398,Standard Double Bed Private Ensuite,50.69
Dundrum House,http://www.hostelworld.com/hosteldetails.php/Dundrum-House/Armagh/61398,Standard 3 Bed Private Ensuite,50.69
Dundrum House,http://www.hostelworld.com/hosteldetails.php/Dundrum-House/Armagh/61398,Standard 3 Bed Family Room Ensuite,50.69
Dundrum House,http://www.hostelworld.com/hosteldetails.php/Dundrum-House/Armagh/61398,Standard 4 Bed Family Room Ensuite,50.69
Sheep Island View,http://www.hostelworld.com/hosteldetails.php/Sheep-Island-View/Ballycastle/4266,Twin Private Ensuite,34.64
Sheep Island View,http://www.hostelworld.com/hosteldetails.php/Sheep-Island-View/Ballycastle/4266,3 Bed Mixed Dorm Ensuite,25.98
Sheep Island View,http://www.hostelworld.com/hosteldetails.php/Sheep-Island-View/Ballycastle/4266,4 Bed Mixed Dorm Ensuite,25.98
Sheep Island View,http://www.hostelworld.com/hosteldetails.php/Sheep-Island-View/Ballycastle/4266,6 Bed Mixed Dorm,25.98
Sheep Island View,http://www.hostelworld.com/hosteldetails.php/Sheep-Island-View/Ballycastle/4266,6 Bed Mixed Dorm Ensuite,25.98
Castle Hostel,http://www.hostelworld.com/hosteldetails.php/Castle-Hostel/Tralee/26068,Deluxe Single Private Ensuite,65.18
Castle Hostel,http://www.hostelworld.com/hosteldetails.php/Castle-Hostel/Tralee/26068,Deluxe Double Bed Private Ensuite,36.21
Castle Hostel,http://www.hostelworld.com/hosteldetails.php/Castle-Hostel/Tralee/26068,Deluxe 4 Bed Mixed Dorm Ensuite,26.07
Castle Hostel,http://www.hostelworld.com/hosteldetails.php/Castle-Hostel/Tralee/26068,5 Bed Private Ensuite,26.07
