BBQ
24 Hour Reception
Air Conditioning
Airport Transfers
Bar
Breakfast Included
Business centre
Café
Currency Exchange
Fax Service
Free Internet Access
Free Parking
Hairdryers
Housekeeping
Laundry Facilities
Luggage Storage
Minibar
Parking
Tours/Travel Desk
Child Friendly
Credit Cards Accepted
Non Smoking
Taxes Included
24 Hour Reception
24 Hour Security
Bar
Bicycle Hire
Board games
Breakfast Included
Cafe
Common Room
Free City Maps
Free Internet Access
Free WiFi
Hairdryers
Hot Showers
Housekeeping
Internet Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Safe Deposit Box
Tea/Coffee Making Facilities
Towels Included
Washing machine
Child Friendly
Credit Cards Not Accepted
No Curfew
Non Smoking
24 Hour Reception
24 Hour Security
Air Conditioning
Airport Transfers
Bar
Bicycle Hire
Breakfast Not Included
Café
Currency Exchange
Free Internet Access
Free Parking
Hairdryers
Laundry Facilities
Meeting Room
Minibar
Parking
Postal Service
Restaurant
Tours/Travel Desk
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Currency Exchange
Fax Service
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Housekeeping
Internet Access
Laundry Facilities
Lounge
Luggage Storage
Minibar
Outdoor Terrace
Parking
Tours/Travel Desk
Child Friendly
Credit Cards Accepted
Taxes Included
Cooker
Free Internet Access
Fridge/Freezer
Internet Access
Microwave
Utensils
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Currency Exchange
Fax Service
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Housekeeping
Internet Access
Laundry Facilities
Lounge
Luggage Storage
Meals available
Minibar
Outdoor Terrace
Parking
Restaurant
Safe Deposit Box
Towels Included
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
Bar
Breakfast Included
Direct Dial Telephone
Fax Service
Hairdryers
Housekeeping
Internet Access
Laundry Facilities
Luggage Storage
Minibar
Parking
Restaurant
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
Air Conditioning
Airport Transfers
Bar
Breakfast Included
Currency Exchange
Free Internet Access
Hairdryers
Housekeeping
Internet Access
Luggage Storage
Minibar
Parking
Tours/Travel Desk
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Free Internet Access
Free WiFi
Hairdryers
Internet Access
Laundry Facilities
Lounge
Luggage Storage
Minibar
Parking
Restaurant
Safe Deposit Box
Tea/Coffee Making Facilities
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Free Parking
Restaurant
Safe Deposit Box
24 Hour Reception
Air Conditioning
Airport Transfers
ATM
Bar
Breakfast Included
Business centre
Cable TV
Café
Currency Exchange
Direct Dial Telephone
Elevator
Fax Service
Free Internet Access
Free WiFi
Gym
Hairdryers
Laundry Facilities
Luggage Storage
Meeting Room
Minibar
Outdoor Swimming Pool
Outdoor Terrace
Parking
Restaurant
Safe Deposit Box
Tours/Travel Desk
Wheelchair Accessible
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
24 Hour Security
Air Conditioning
Bar
Breakfast Included
Cable TV
Café
Direct Dial Telephone
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Minibar
Restaurant
Safe Deposit Box
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
24 Hour Security
Air Conditioning
Airport Transfers
Bar
Breakfast Included
Cable TV
Café
Cots available
Currency Exchange
Fax Service
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Hot Tub
Housekeeping
Internet Access
Laundry Facilities
Luggage Storage
Minibar
Outdoor Terrace
Parking
Reading Light
Safe Deposit Box
Tours/Travel Desk
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Currency Exchange
Fax Service
Free City Maps
Hairdryers
Housekeeping
Internet Access
Lounge
Luggage Storage
Minibar
Parking
Restaurant
Safe Deposit Box
Child Friendly
Taxes Included
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Cable TV
Currency Exchange
Elevator
Fax Service
Free City Maps
Hairdryers
Hot Tub
Housekeeping
Internet Access
Lounge
Parking
Restaurant
Safe Deposit Box
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
Air Conditioning
Bar
Breakfast Included
Business centre
Cable TV
Currency Exchange
Elevator
Fax Service
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Internet Access
Laundry Facilities
Lounge
Luggage Storage
Meeting Room
Minibar
Outdoor Terrace
Parking
Restaurant
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Wheelchair Accessible
Child Friendly
Credit Cards Accepted
Taxes Included
24 Hour Reception
Air Conditioning
ATM
Bar
Breakfast Included
Cable TV
Currency Exchange
Elevator
Fax Service
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Housekeeping
Internet Access
Laundry Facilities
Lounge
Luggage Storage
Meeting Room
Minibar
Outdoor Terrace
Parking
Restaurant
Safe Deposit Box
Tours/Travel Desk
Vending Machines
Child Friendly
Credit Cards Accepted
Taxes Included
Air Conditioning
Breakfast Included
Cable TV
Free Internet Access
Free WiFi
Internet Access
Laundry Facilities
Lounge
24 Hour Security
Air Conditioning
Airport Transfers
Bar
Breakfast Included
Café
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Laundry Facilities
Luggage Storage
Parking
Reading Light
Restaurant
Safe Deposit Box
Credit Cards Accepted
Non Smoking
Air Conditioning
Bar
Breakfast Included
Cable TV
Free Parking
Hairdryers
Housekeeping
Internet Access
Lounge
